StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00021749,34.0500,-110.4500,1617.0,AZ,CIBECUE,,15,-7,19800701-20200627, 68.9%,20000629-20200627, 77.1%,20100628-20200627, 82.6%
USC00021870,32.0588,-109.8908,1274.1,AZ,COCHISE 4 SSE,,15,-7,19480701-20190613, 80.6%,19831222-20190613, 66.6%,20010916-20190613, 41.6%
USC00022329,34.2097,-112.3453,1804.4,AZ,CROWN KING,,15,-7,19800601-20200727, 78.5%,20000629-20200727, 72.1%,20100713-20200727, 75.4%
USC00022754,32.7480,-109.1213,1115.6,AZ,DUNCAN,,15,-7,19750828-20200805, 74.8%,19980215-20200805, 59.3%,20090511-20200805, 52.3%
USC00023009,35.1611,-111.7311,2171.7,AZ,FLAGSTAFF 4 SW,,15,-7,20030317-20200609, 59.0%,20111028-20200609, 83.7%,20160217-20200609, 98.7%
USC00024534,31.8352,-110.3552,1429.5,AZ,KARTCHNER CAVERNS,,15,-7,20100302-20200801, 80.7%,20150517-20200801, 92.8%,20171223-20200801, 95.3%
USC00024586,35.8109,-110.1932,1891.3,AZ,KEAMS CANYON,,15,-7,19480701-20160817, 84.4%,19820725-20160817, 78.9%,19990806-20160817, 77.3%
USC00025344,34.3709,-112.1827,1252.1,AZ,MAYER NO. 2,,15,-7,19861201-20200727, 84.0%,20030929-20200727, 83.6%,20120227-20200727, 80.9%
USC00025635,34.6105,-111.8380,969.3,AZ,MONTEZUMA CASTLE NM,,15,-7,19790719-20200715, 86.0%,20000116-20200715, 78.6%,20100416-20200715, 67.0%
USC00025924,31.4554,-110.9680,1054.9,AZ,NOGALES 6 N,,15,-7,19830902-20200803, 78.7%,20020216-20200803, 64.5%,20110511-20200803, 86.3%
USC00026037,34.9599,-111.7553,1560.0,AZ,OAK CREEK CANYON,,15,-7,20160814-20200713, 87.4%,20180729-20200713, 86.6%,20190721-20200713, 89.7%
USC00026117,32.6100,-110.7317,1400.6,AZ,ORACLE STATE PARK,,15,-7,20130815-20200803, 91.0%,20170207-20200803, 99.2%,20181105-20200803, 98.4%
USC00026119,32.6025,-110.7344,1374.6,AZ,ORACLE 2 SE,,15,-7,19500224-20100407, 84.4%,19800316-20100407, 77.4%,19950327-20100407, 60.9%
USC00026468,34.7994,-109.8850,1659.9,AZ,PETRIFIED FOREST NP,,15,-7,19480701-20200701, 84.9%,19840701-20200701, 76.9%,20020701-20200701, 76.1%
USC00027708,34.8955,-111.7644,1286.3,AZ,SEDONA,,15,-7,19730412-20100901, 85.5%,19911222-20100901, 81.9%,20010427-20100901, 84.1%
USC00027876,33.7986,-110.9714,1554.5,AZ,SIERRA ANCHA,,15,-7,19760101-20200730, 79.2%,19980416-20200730, 69.1%,20090607-20200730, 80.0%
USC00029158,34.9281,-112.8097,1551.4,AZ,WALNUT CREEK,,15,-7,19790720-20200701, 82.8%,20000109-20200701, 85.0%,20100405-20200701, 83.5%
USC00029271,33.8215,-109.9840,1575.8,AZ,WHITERIVER 1 SW,,15,-7,19480701-20110920, 90.6%,19800209-20110920, 84.1%,19951130-20110920, 80.2%
USC00030064,35.9307,-91.0550,78.6,AR,ALICIA 2NNE,,15,-6,19480529-20200801, 87.1%,19840630-20200801, 83.9%,20020716-20200801, 89.1%
USC00030130,34.7961,-92.8417,212.8,AR,ALUM FORK,,15,-6,19480501-20200801, 91.5%,19840616-20200801, 89.1%,20020709-20200801, 93.5%
USC00030178,34.0275,-93.4332,91.4,AR,ANTOINE 1 SW,,15,-6,19500810-20200801, 85.5%,19850805-20200801, 76.9%,20030202-20200801, 73.8%
USC00030220,34.1433,-93.0589,59.7,AR,ARKADELPHIA 2 N,,15,-6,19480501-20200813, 91.3%,19840622-20200813, 84.0%,20020718-20200813, 73.0%
USC00030326,35.2894,-91.3533,59.4,AR,AUGUSTA,,15,-6,19480501-20200703, 86.5%,19840601-20200703, 84.7%,20020617-20200703, 84.4%
USC00030458,35.8306,-91.7944,174.0,AR,BATESVILLE LVSTK,,15,-6,19490801-20200701, 94.0%,19850115-20200701, 94.0%,20021008-20200701, 95.1%
USC00030530,35.0644,-91.8961,76.2,AR,BEEBE,,15,-6,19480501-20200625, 87.3%,19840528-20200625, 90.4%,20020611-20200625, 93.2%
USC00030616,36.4294,-93.6255,359.7,AR,BERRYVILLE 5 NW,,15,-6,19480501-20141126, 91.4%,19810813-20141126, 85.2%,19980405-20141126, 74.6%
USC00030764,34.5697,-93.1947,129.8,AR,BLAKELY MOUNTAIN DAM,,15,-6,19500501-20200803, 87.2%,19850617-20200803, 82.0%,20030109-20200803, 86.9%
USC00030798,35.1161,-93.6506,129.8,AR,BLUE MOUNTAIN DAM,,15,-6,19480501-20200804, 95.4%,19840617-20200804, 92.4%,20020711-20200804, 92.3%
USC00030832,35.0930,-93.9258,182.9,AR,BOONEVILLE 3 SSE,,15,-6,19780406-20200803, 88.8%,19990605-20200803, 84.7%,20100103-20200803, 82.1%
USC00030842,35.7264,-92.4672,387.4,AR,BOTKINBURG 3 NE,,15,-6,19480501-20200801, 88.2%,19840616-20200801, 82.7%,20020709-20200801, 90.7%
USC00030900,34.9458,-93.4637,140.2,AR,BRIGGSVILLE,,15,-6,19851101-20181023, 82.8%,20020428-20181023, 76.3%,20100726-20181023, 63.5%
USC00030936,34.8822,-91.2152,56.4,AR,BRINKLEY,,15,-6,19480501-20170922, 90.6%,19830111-20170922, 85.8%,20000517-20170922, 82.2%
USC00031020,36.3647,-92.5781,146.3,AR,BULL SHOALS DAM,,15,-6,19480501-20200803, 89.7%,19840617-20200803, 83.8%,20020711-20200803, 73.3%
USC00031140,33.3063,-92.4832,23.5,AR,CALION LOCK & DAM,,15,-6,19851001-20200303, 77.8%,20021217-20200303, 68.6%,20110726-20200303, 68.7%
USC00031152,33.5900,-92.8236,35.4,AR,CAMDEN 1,,15,-6,19660427-20200127, 82.9%,19930312-20200127, 73.6%,20060819-20200127, 58.4%
USC00031457,35.5328,-93.4036,259.1,AR,CLARKSVILLE 6 NE,,15,-6,19611201-20200701, 88.6%,19910317-20200701, 83.0%,20051107-20200701, 91.7%
USC00031582,36.0913,-93.3208,648.9,AR,COMPTON,,15,-6,19480501-20200801, 90.3%,19840616-20200801, 84.6%,20020709-20200801, 80.9%
USC00031632,36.4197,-90.5858,91.4,AR,CORNING,,15,-6,19480501-20200707, 82.1%,19840603-20200707, 78.5%,20020620-20200707, 82.3%
USC00031948,34.0463,-94.3480,124.1,AR,DEQUEEN,,15,-6,20080310-20200507, 78.6%,20140408-20200507, 96.3%,20170422-20200507, 99.5%
USC00031952,34.1002,-94.3724,169.8,AR,DE QUEEN DAM,,15,-6,19730503-20080205, 89.2%,19900919-20080205, 81.9%,19990529-20080205, 79.7%
USC00032015,34.1266,-94.0172,143.3,AR,DIERKS,,15,-6,20051220-20200720, 78.0%,20130405-20200720, 85.6%,20161126-20200720, 95.5%
USC00032148,33.8885,-91.5316,49.7,AR,DUMAS,,15,-6,19610201-20191118, 83.8%,19900626-20191118, 71.0%,20050307-20191118, 55.0%
USC00032356,36.4163,-93.7916,432.8,AR,EUREKA SPRINGS 3 WNW,,15,-6,19490701-20120925, 96.4%,19810211-20120925, 95.2%,19961203-20120925, 92.3%
USC00032444,36.1010,-94.1737,387.1,AR,FAYETTEVILLE EXP STA,,15,-6,19660413-20200706, 86.7%,19930525-20200706, 79.5%,20061215-20200706, 79.9%
USC00032489,34.7594,-92.4553,150.0,AR,FERNDALE 6 E,,15,-6,19810504-20200625, 91.2%,20001128-20200625, 95.1%,20100911-20200625, 98.7%
USC00032544,33.7222,-94.3975,128.9,AR,FOREMAN,,15,-6,19480501-20200701, 83.1%,19840531-20200701, 77.3%,20020616-20200701, 76.2%
USC00032794,35.9885,-92.7161,184.7,AR,GILBERT,,15,-6,19480501-20200803, 94.9%,19840617-20200803, 91.3%,20020711-20200803, 91.8%
USC00032978,35.5206,-91.9997,160.6,AR,GREERS FERRY DAM,,15,-6,19650201-20200801, 95.3%,19921101-20200801, 94.3%,20060916-20200801, 96.2%
USC00033132,36.2747,-91.5056,121.9,AR,HARDY,,15,-6,19480501-20200305, 74.4%,19840402-20200305, 72.3%,20020319-20200305, 61.5%
USC00033544,36.0700,-93.7522,543.5,AR,HUNTSVILLE 1 SSW,,15,-6,19830501-20120925, 89.7%,19980112-20120925, 87.9%,20050520-20120925, 88.7%
USC00034185,33.3613,-93.5674,103.6,AR,LEWISVILLE,,15,-6,19910401-20200702, 88.4%,20051115-20200702, 81.4%,20130309-20200702, 90.2%
USC00034548,33.2586,-93.1822,113.4,AR,MAGNOLIA,,15,-6,19480501-20200713, 49.2%,19840606-20200713, 73.1%,20020625-20200713, 69.6%
USC00034756,34.5979,-94.2900,351.1,AR,MENA,,15,-6,19480501-20200802, 94.4%,19840616-20200802, 90.8%,20020710-20200802, 93.0%
USC00034839,33.6772,-93.9902,96.3,AR,MILLWOOD DAM,,15,-6,19630711-20200728, 84.1%,19920118-20200728, 74.3%,20060423-20200728, 67.6%
USC00035110,34.1452,-93.7138,132.6,AR,NARROWS DAM,,15,-6,19500501-20200107, 90.3%,19850304-20200107, 88.6%,20020805-20200107, 94.2%
USC00035112,33.9293,-93.8507,121.9,AR,NASHVILLE,,15,-6,19660301-20200408, 88.7%,19930320-20200408, 79.3%,20060928-20200408, 67.5%
USC00035200,34.9553,-93.1594,146.3,AR,NIMROD DAM,,15,-6,19480501-20200803, 91.3%,19840617-20200803, 84.9%,20020711-20200803, 88.9%
USC00035228,36.2494,-92.2383,129.5,AR,NORFORK DAM,,15,-6,19480501-20200728, 90.5%,19840614-20200728, 85.1%,20020706-20200728, 77.2%
USW00003952,34.8353,-92.2596,171.6,AR,NORTH LITTLE ROCK WFO,72340,15,-6,19760101-20200801, 97.3%,19980417-20200801, 94.6%,20090609-20200801, 90.7%
USC00035602,35.9547,-93.2405,274.3,AR,PARTHENON,,15,-6,19480501-20150901, 88.3%,19811231-20150901, 78.9%,19981031-20150901, 80.9%
USC00035754,34.2255,-92.0185,70.1,AR,PINE BLUFF,,15,-6,19530101-20200417, 88.4%,19860825-20200417, 79.1%,20030621-20200417, 74.8%
USC00035908,33.8204,-93.3879,93.9,AR,PRESCOTT 2 NNW,,15,-6,19820801-20181012, 78.2%,20000905-20181012, 62.5%,20090923-20181012, 57.3%
USC00036393,35.8236,-93.7672,423.7,AR,ST. PAUL 1 E,,15,-6,19880301-20200402, 81.4%,20040317-20200402, 86.3%,20120325-20200402, 80.4%
USC00036403,36.3561,-91.8036,207.3,AR,SALEM,,15,-6,19870901-20120602, 41.4%,20000116-20120602, 16.0%,20060325-20120602,  1.3%
USC00036405,36.4261,-91.9158,274.3,AR,SALEM NO 2,,15,-6,20020401-20200801, 86.5%,20110601-20200801, 80.2%,20151231-20200801, 80.8%
USC00036920,34.4744,-91.4172,60.4,AR,STUTTGART 9 ESE,,15,-6,19480601-20200803, 95.4%,19840702-20200803, 92.2%,20020718-20200803, 95.2%
USC00037488,34.9229,-94.0944,218.2,AR,WALDRON,,15,-6,19480501-20200302, 89.8%,19840401-20200302, 80.8%,20020317-20200302, 79.5%
USC00038052,35.2547,-90.7965,79.2,AR,WYNNE,,15,-6,19790613-20200703, 86.7%,19991223-20200703, 83.1%,20100329-20200703, 85.3%
USC00040161,41.4901,-120.5437,1334.4,CA,ALTURAS,,15,-8,19480701-20200802, 91.5%,19840717-20200802, 86.9%,20020725-20200802, 77.0%
USC00040212,38.5730,-122.4405,522.7,CA,ANGWIN PACIFIC UNION COLLEGE,,15,-8,19671103-20200608, 86.7%,19940219-20200608, 87.6%,20070415-20200608, 85.9%
USC00040321,35.1844,-120.3980,282.5,CA,ARROYO GRANDE 11 ENE,,15,-8,19940107-20200807, 88.4%,20070423-20200807, 91.1%,20131214-20200807, 98.7%
USC00040322,36.2355,-121.4800,286.5,CA,ARROYO SECO,,15,-8,19481201-20180501, 87.4%,19830816-20180501, 80.6%,20001222-20180501, 88.9%
USC00040449,36.9092,-119.0883,528.8,CA,BALCH POWER HOUSE,,15,-8,19500201-20200601, 88.1%,19850402-20200601, 80.2%,20021101-20200601, 80.9%
USC00040546,40.3983,-122.1452,128.0,CA,BATTLE CREEK ADR,,15,-8,19710701-20200701, 84.0%,19951231-20200701, 82.9%,20080331-20200701, 90.7%
USC00040731,41.1208,-121.1347,1257.3,CA,BIEBER,,15,-8,19480701-20200715, 82.3%,19840708-20200715, 70.3%,20020712-20200715, 77.9%
USC00040742,34.2414,-116.9751,2077.2,CA,BIG BEAR LAKE DAM,,15,-8,19480701-20200611, 76.3%,19840621-20200611, 64.4%,20020616-20200611, 50.6%
USC00040790,36.2472,-121.7802,61.0,CA,BIG SUR STATION,,15,-8,19961202-20200507, 79.7%,20080819-20200507, 87.1%,20140628-20200507, 88.4%
USC00040883,38.9091,-120.6677,1345.4,CA,BLODGETT EXPER FOREST,,15,-8,19691001-20200701, 90.1%,19950215-20200701, 92.5%,20071024-20200701, 92.5%
USC00041005,37.1422,-122.1963,662.9,CA,BOULDER CR LOCAT RCH,,15,-8,19480701-20200601, 93.6%,19840616-20200601, 90.8%,20020609-20200601, 89.3%
USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,,15,-8,19480701-20160601, 85.0%,19820616-20160601, 79.7%,19990609-20160601, 77.1%
USC00041076,38.2505,-119.2161,1963.2,CA,BRIDGEPORT R.S.,,15,-8,19500609-20200702, 65.2%,19850620-20200702, 54.7%,20021226-20200702, 54.2%
USC00041130,39.6949,-121.3452,1085.1,CA,BRUSH CREEK RANGER STATION,,15,-8,19480701-20200701, 79.8%,19840701-20200701, 74.6%,20020701-20200701, 89.2%
USC00041142,35.7989,-121.0939,281.9,CA,BRYSON,,15,-8,19480701-20200604, 90.7%,19840617-20200604, 83.8%,20020611-20200604, 85.5%
USC00041194,34.1866,-118.3480,199.6,CA,BURBANK VALLEY PUMP PLANT,,15,-8,19480701-20200801, 92.9%,19840716-20200801, 87.0%,20020724-20200801, 88.7%
USC00041272,34.3899,-117.5758,1463.0,CA,CAJON WEST SUMMIT,,15,-8,19480701-20200615, 81.4%,19840623-20200615, 66.8%,20020619-20200615, 53.5%
USC00041277,38.2769,-120.3113,1431.0,CA,CALAVERAS BIG TREES,,15,-8,19860710-20200701, 86.9%,20030706-20200701, 92.6%,20120102-20200701, 92.2%
USC00041369,34.1491,-116.9802,1758.7,CA,CAMP ANGELUS,,15,-8,19480701-20200611, 85.5%,19840621-20200611, 79.1%,20020616-20200611, 61.6%
USC00041428,38.2486,-120.8433,200.6,CA,CAMP PARDEE,,15,-8,19480701-20200702, 95.9%,19840701-20200702, 94.0%,20020702-20200702, 94.6%
USC00041460,39.4397,-121.0712,762.0,CA,CAMPTONVILLE 1SW,,15,-8,19950210-20200721, 92.9%,20071031-20200721, 97.3%,20140311-20200721, 98.8%
USC00041497,40.1705,-121.0886,1389.9,CA,CANYON DAM,,15,-8,19751017-20200727, 87.7%,19980307-20200727, 87.1%,20090517-20200727, 91.5%
USC00041715,39.6911,-121.8211,56.4,CA,CHICO UNIVERSITY FARM,,15,-8,19480701-20200722, 91.9%,19840711-20200722, 91.8%,20020717-20200722, 95.6%
USC00041864,36.1356,-120.3606,204.2,CA,COALINGA,,15,-8,19480701-20200502, 49.6%,19840601-20200502, 78.1%,20020517-20200502, 79.5%
USC00041886,41.0894,-122.7086,762.9,CA,COFFEE CREEK RS,,15,-8,19601109-20200610, 82.2%,19900825-20200610, 71.4%,20050718-20200610, 72.9%
USC00042012,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,,15,-8,19560119-20190605, 84.9%,19870927-20190605, 71.4%,20030801-20190605, 61.3%
USC00042048,36.9897,-121.8050,82.3,CA,CORRALITOS,,15,-8,19580415-20200602, 75.5%,19890509-20200602, 82.0%,20041119-20200602, 77.1%
USC00042084,39.8261,-123.0850,462.4,CA,COVELO EEL RIVER RS,,15,-8,19480701-20190709, 79.3%,19840104-20190709, 68.0%,20011006-20190709, 64.7%
USC00042164,34.2393,-117.2988,1484.4,CA,CRESTLINE,,15,-8,19660418-20200615, 73.2%,19930517-20200615, 56.7%,20061130-20200615, 47.4%
USC00042239,32.9897,-116.5872,1414.3,CA,CUYAMACA,,15,-8,19670822-20190601, 79.2%,19930711-20190601, 62.3%,20060621-20190601, 51.6%
USC00042294,38.5349,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,15,-8,19480701-20200706, 91.5%,19840703-20200706, 86.4%,20020705-20200706, 79.0%
USC00042306,41.2122,-121.3741,1112.5,CA,DAY,,15,-8,19480701-20200801, 91.4%,19840716-20200801, 86.9%,20020724-20200801, 92.4%
USC00042500,39.5633,-120.8238,888.5,CA,DOWNIEVILLE,,15,-7,19480701-20200701, 93.3%,19840701-20200701, 93.1%,20020701-20200701, 94.2%
USC00042749,41.9880,-123.7183,520.6,CA,ELK VALLEY,,15,-8,19710501-20181101, 79.6%,19950130-20181101, 73.4%,20061216-20181101, 66.6%
USC00042899,41.4574,-122.8994,902.2,CA,ETNA,,15,-8,19480701-20200609, 95.1%,19840620-20200609, 94.0%,20020615-20200609, 93.2%
USC00042935,38.2880,-122.0344,33.5,CA,FAIRFIELD 3 NNE,,15,-8,19720201-20200708, 91.4%,19960420-20200708, 92.5%,20080529-20200708, 93.7%
USC00043038,38.5236,-120.7061,658.4,CA,FIDDLETOWN DEXTER RCH,,15,-8,19480701-20200701, 97.0%,19840701-20200701, 95.0%,20020701-20200701, 95.3%
USC00043161,39.5091,-123.7566,37.5,CA,FORT BRAGG 5 N,,15,-8,19480701-20200102, 81.0%,19840401-20200102, 71.4%,20020215-20200102, 66.5%
USC00043182,41.6010,-122.8478,831.8,CA,FORT JONES RS,,15,-8,19761117-20200805, 88.3%,19980926-20200805, 93.3%,20090831-20200805, 94.0%
USC00043194,40.2183,-123.6322,67.1,CA,FORT SEWARD,,15,-8,19720801-20200820, 66.0%,19960810-20200820, 73.0%,20080815-20200820, 82.7%
USC00043219,34.7333,-119.1038,1575.5,CA,FRAZIER PARK 9 SW,,15,-8,19940307-20200805, 95.6%,20070522-20200805, 96.9%,20131228-20200805, 98.8%
USC00043357,41.8452,-123.9647,118.0,CA,GASQUET RS,,15,-8,19710301-20200801, 82.6%,19951115-20200801, 82.1%,20080324-20200801, 83.8%
USC00043384,38.9330,-120.8008,914.7,CA,GEORGETOWN RS,,15,-8,19671101-20200720, 82.3%,19940311-20200720, 86.1%,20070516-20200720, 90.2%
USC00043402,34.5225,-119.6822,474.9,CA,GIBRALTAR DAM NO. 2,,15,-8,19700501-20200811, 94.9%,19950621-20200811, 94.2%,20080115-20200811, 93.6%
USC00043417,37.0030,-121.5608,59.1,CA,GILROY,,15,-8,20190328-20200731, 66.5%,20191128-20200731, 66.0%,20200330-20200731, 62.1%
USC00043419,37.0327,-121.4316,320.0,CA,GILROY 8 NE,,15,-8,19480701-20200531, 91.5%,19840615-20200531, 85.8%,20020608-20200531, 92.0%
USC00043573,39.2041,-121.0680,731.5,CA,GRASS VALLEY NO. 2,,15,-8,19660913-20200701, 87.7%,19930807-20200701, 80.2%,20070118-20200701, 79.9%
USC00043647,40.4863,-123.9088,125.9,CA,GRIZZLY CREEK STATE PARK,,15,-8,19950702-20121027, 66.1%,20040228-20121027, 67.8%,20080628-20121027, 78.8%
USC00043669,37.8444,-120.2258,853.4,CA,GROVELAND 2,,15,-8,19480701-20200701, 92.6%,19840701-20200701, 87.3%,20020701-20200701, 90.5%
USC00043761,41.7961,-123.3747,348.1,CA,HAPPY CAMP RANGER STATION,,15,-8,19480701-20200403, 87.7%,19840517-20200403, 81.8%,20020425-20200403, 80.9%
USC00043791,40.3636,-122.9650,838.2,CA,HARRISON GULCH RS,,15,-8,19481101-20200704, 86.4%,19840902-20200704, 82.6%,20020803-20200704, 84.4%
USC00043891,39.0583,-120.4150,1478.3,CA,HELL HOLE,,15,-8,19540101-20200705, 68.9%,19870404-20200705, 87.5%,20031119-20200705, 94.0%
USC00043928,36.3052,-120.7047,842.8,CA,HERNANDEZ 7 SE,,15,-8,19480701-20180731, 90.6%,19830716-20180731, 83.4%,20010121-20180731, 80.2%
USC00043939,37.9613,-119.7830,1179.6,CA,HETCH HETCHY,,15,-8,19480701-20200702, 93.8%,19840701-20200702, 91.2%,20020702-20200702, 90.7%
USC00044025,36.8483,-121.4213,83.8,CA,HOLLISTER 2,,15,-8,19480701-20200602, 85.3%,19840616-20200602, 75.4%,20020609-20200602, 90.9%
USC00044074,40.2375,-124.1322,113.7,CA,HONEYDEW 1 SW,,15,-8,19710701-20200821, 66.6%,19960125-20200821, 66.5%,20080508-20200821, 80.9%
USC00044089,41.0483,-123.6755,102.4,CA,HOOPA,,15,-8,19710601-20200803, 87.4%,19960101-20200803, 93.7%,20080417-20200803, 96.7%
USC00044191,40.6161,-123.4566,389.5,CA,HYAMPOM,,15,-8,19480701-20170407, 91.3%,19821118-20170407, 84.4%,20000127-20170407, 80.9%
USC00044232,36.7980,-118.2036,1204.0,CA,INDEPENDENCE,,15,-8,19480701-20190114, 92.6%,19831008-20190114, 87.0%,20010527-20190114, 77.3%
USC00044587,40.6422,-123.9149,744.6,CA,KNEELAND 10 SSE,,15,-8,19540617-20200807, 84.8%,19870713-20200807, 79.0%,20040124-20200807, 86.8%
USC00044689,39.2030,-123.1850,232.9,CA,LAKE MENDOCINO DAM,,15,-8,19720601-20190918, 82.6%,19960124-20190918, 77.0%,20071121-20190918, 78.8%
USC00044712,38.4920,-122.0039,57.0,CA,LAKE SOLANO,,15,-8,19621001-20200701, 93.1%,19910816-20200701, 93.1%,20060122-20200701, 96.7%
USC00044883,39.8744,-123.7205,214.3,CA,LEGGETT,,15,-8,19720801-20200527, 59.1%,19960629-20200527, 60.8%,20080612-20200527, 66.3%
