StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00030326,35.2894,-91.3533,59.4,AR,AUGUSTA,,15,-6,19480501-20211231, 86.8%,19850301-20211231, 85.4%,20030801-20211231, 88.1%
USC00030458,35.8306,-91.7944,174.0,AR,BATESVILLE LVSTK,,15,-6,19490801-20211231, 94.1%,19851016-20211231, 94.3%,20031123-20211231, 95.3%
USC00030530,35.0644,-91.8961,76.2,AR,BEEBE,,15,-6,19480501-20211231, 87.0%,19850301-20211231, 89.5%,20030801-20211231, 91.1%
USC00030616,36.4294,-93.6255,359.7,AR,BERRYVILLE 5 NW,,15,-6,19480501-20141126, 94.5%,19810813-20141126, 91.4%,19980405-20141126, 86.9%
USC00030764,34.5697,-93.1947,129.8,AR,BLAKELY MOUNTAIN DAM,,15,-6,19500501-20211231, 87.6%,19860301-20211231, 82.8%,20040130-20211231, 88.5%
USC00030798,35.1161,-93.6506,129.8,AR,BLUE MOUNTAIN DAM,,15,-6,19480501-20211231, 95.7%,19850301-20211231, 93.2%,20030801-20211231, 94.3%
USC00030832,35.0930,-93.9258,182.9,AR,BOONEVILLE 3 SSE,,15,-6,19780406-20211231, 89.6%,20000217-20211231, 86.1%,20110124-20211231, 86.1%
USC00030842,35.7264,-92.4672,387.4,AR,BOTKINBURG 3 NE,,15,-6,19480501-20201101, 88.3%,19840801-20201101, 83.1%,20020916-20201101, 91.3%
USC00030900,34.9458,-93.4637,140.2,AR,BRIGGSVILLE,,15,-6,19851101-20181023, 82.8%,20020428-20181023, 76.3%,20100726-20181023, 63.5%
USC00030936,34.8822,-91.2152,56.4,AR,BRINKLEY,,15,-6,19480501-20170922, 90.6%,19830111-20170922, 85.8%,20000517-20170922, 82.4%
USC00031020,36.3647,-92.5781,146.3,AR,BULL SHOALS DAM,,15,-6,19480501-20211231, 90.0%,19850301-20211231, 84.4%,20030801-20211231, 75.0%
USC00031140,33.3053,-92.4866,29.0,AR,CALION LOCK & DAM,,15,-6,19851001-20210921, 78.0%,20030926-20210921, 68.6%,20120923-20210921, 73.0%
USC00031152,33.5900,-92.8236,35.4,AR,CAMDEN 1,,15,-6,19660427-20211006, 81.6%,19940115-20211006, 71.0%,20071126-20211006, 56.0%
USC00031457,35.5328,-93.4036,259.1,AR,CLARKSVILLE 6 NE,,15,-6,19611201-20211231, 89.0%,19911216-20211231, 83.6%,20061223-20211231, 93.2%
USC00031582,36.0913,-93.3208,648.9,AR,COMPTON,,15,-6,19480501-20211231, 90.7%,19850301-20211231, 85.4%,20030801-20211231, 83.2%
USC00031632,36.4197,-90.5858,91.4,AR,CORNING,,15,-6,19480501-20211203, 82.4%,19850215-20211203, 79.3%,20030711-20211203, 83.5%
USC00031948,34.0463,-94.3480,124.1,AR,DEQUEEN,,15,-6,20080310-20211213, 81.5%,20150126-20211213, 95.1%,20180705-20211213, 96.3%
USC00031952,34.1002,-94.3724,169.8,AR,DE QUEEN DAM,,15,-6,19730503-20080205, 89.2%,19900919-20080205, 81.9%,19990529-20080205, 79.7%
USC00032015,34.1266,-94.0172,143.3,AR,DIERKS,,15,-6,20051220-20211231, 81.2%,20131225-20211231, 94.1%,20171228-20211231, 95.9%
USC00032148,33.8885,-91.5316,49.7,AR,DUMAS,,15,-6,19610201-20211231, 82.3%,19910718-20211231, 68.1%,20061009-20211231, 49.6%
USC00032356,36.4163,-93.7916,432.8,AR,EUREKA SPRINGS 3 WNW,,15,-6,19490701-20120925, 96.4%,19810211-20120925, 95.2%,19961203-20120925, 92.4%
USC00032444,36.1010,-94.1737,387.1,AR,FAYETTEVILLE EXP STA,,15,-6,19660413-20211231, 86.8%,19940220-20211231, 79.5%,20080126-20211231, 81.7%
USC00032489,34.7594,-92.4553,150.0,AR,FERNDALE 6 E,,15,-6,19810504-20211221, 90.5%,20010827-20211221, 93.8%,20111024-20211221, 94.8%
USC00032544,33.7222,-94.3975,128.9,AR,FOREMAN,,15,-6,19480501-20211231, 83.6%,19850301-20211231, 79.6%,20030801-20211231, 78.1%
USC00032794,35.9885,-92.7161,184.7,AR,GILBERT,,15,-6,19480501-20211231, 95.0%,19850301-20211231, 92.2%,20030801-20211231, 92.3%
USC00032978,35.5206,-91.9997,160.6,AR,GREERS FERRY DAM,,15,-6,19650201-20211231, 95.5%,19930717-20211231, 94.7%,20071009-20211231, 97.1%
USC00033132,36.2747,-91.5056,121.9,AR,HARDY,,15,-6,19480501-20210608, 73.7%,19841118-20210608, 70.9%,20030227-20210608, 59.0%
USC00033544,36.0700,-93.7522,543.5,AR,HUNTSVILLE 1 SSW,,15,-6,19830501-20120925, 90.1%,19980112-20120925, 88.6%,20050520-20120925, 90.0%
USC00034185,33.3613,-93.5674,103.6,AR,LEWISVILLE,,15,-6,19910401-20211231, 89.2%,20060816-20211231, 82.9%,20140424-20211231, 96.2%
USC00034548,33.2586,-93.1822,113.4,AR,MAGNOLIA,,15,-6,19480501-20211207, 51.3%,19850217-20211207, 76.1%,20030714-20211207, 75.3%
USC00034756,34.5979,-94.2900,351.1,AR,MENA,,15,-6,19480501-20211231, 94.4%,19850301-20211231, 90.8%,20030801-20211231, 92.8%
USC00034839,33.6772,-93.9902,96.3,AR,MILLWOOD DAM,,15,-6,19630711-20210921, 84.0%,19920815-20210921, 74.0%,20070304-20210921, 66.6%
USC00035110,34.1452,-93.7138,132.6,AR,NARROWS DAM,,15,-6,19500501-20201102, 89.7%,19850801-20201102, 87.2%,20030318-20201102, 91.4%
USC00035112,33.9293,-93.8507,121.9,AR,NASHVILLE,,15,-6,19660301-20211203, 89.5%,19940116-20211203, 81.0%,20071225-20211203, 70.3%
USC00035200,34.9553,-93.1594,146.3,AR,NIMROD DAM,,15,-6,19480501-20211231, 91.6%,19850301-20211231, 85.6%,20030801-20211231, 90.2%
USC00035228,36.2494,-92.2383,129.5,AR,NORFORK DAM,,15,-6,19480501-20211201, 90.5%,19850214-20211201, 85.3%,20030709-20211201, 77.3%
USW00003952,34.8353,-92.2596,171.6,AR,NORTH LITTLE ROCK WFO,72340,15,-6,19760101-20211231, 98.4%,19981231-20211231, 96.8%,20100701-20211231, 95.0%
USC00035602,35.9547,-93.2405,274.3,AR,PARTHENON,,15,-6,19480501-20150901, 88.4%,19811231-20150901, 79.2%,19981031-20150901, 81.4%
USC00035754,34.2255,-92.0185,70.1,AR,PINE BLUFF,,15,-6,19530101-20211231, 88.3%,19870702-20211231, 79.6%,20040930-20211231, 75.3%
USC00035908,33.8204,-93.3879,93.9,AR,PRESCOTT 2 NNW,,15,-6,19820801-20211026, 76.7%,20020314-20211026, 59.8%,20120104-20211026, 63.9%
USC00036393,35.8236,-93.7672,423.7,AR,ST. PAUL 1 E,,15,-6,19880301-20200402, 81.4%,20040317-20200402, 86.5%,20120325-20200402, 80.7%
USC00036403,36.3561,-91.8036,207.3,AR,SALEM,,15,-6,19870901-20120602, 41.4%,20000116-20120602, 16.0%,20060325-20120602,  1.3%
USC00036405,36.4261,-91.9158,274.3,AR,SALEM NO 2,,15,-6,20020401-20211215, 86.0%,20120207-20211215, 78.7%,20170110-20211215, 83.5%
USC00036920,34.4744,-91.4172,60.4,AR,STUTTGART 9 ESE,,15,-6,19480601-20211231, 95.6%,19850317-20211231, 92.9%,20030809-20211231, 95.8%
USC00037488,34.9229,-94.0944,218.2,AR,WALDRON,,15,-6,19480501-20211117, 88.1%,19850207-20211117, 77.4%,20030629-20211117, 75.9%
USC00038052,35.2547,-90.7965,79.2,AR,WYNNE,,15,-6,19790613-20211205, 89.3%,20000908-20211205, 88.0%,20110423-20211205, 94.1%
USC00040161,41.4901,-120.5437,1334.4,CA,ALTURAS,,15,-8,19480701-20211231, 91.9%,19850401-20211231, 87.5%,20030816-20211231, 78.2%
USC00040212,38.5730,-122.4405,522.7,CA,ANGWIN PACIFIC UNION COLLEGE,,15,-8,19671103-20211231, 87.3%,19941202-20211231, 88.6%,20080616-20211231, 87.5%
USC00040321,35.1844,-120.3980,282.5,CA,ARROYO GRANDE 11 ENE,,15,-8,19940107-20211231, 89.4%,20080104-20211231, 92.5%,20150102-20211231, 99.9%
USC00040322,36.2355,-121.4800,286.5,CA,ARROYO SECO,,15,-8,19481201-20180501, 88.1%,19830816-20180501, 82.2%,20001222-20180501, 92.0%
USC00040449,36.9092,-119.0883,528.8,CA,BALCH POWER HOUSE,,15,-8,19500201-20211231, 88.9%,19860116-20211231, 81.8%,20040108-20211231, 85.0%
USC00040546,40.3983,-122.1452,128.0,CA,BATTLE CREEK ADR,,15,-8,19710701-20211231, 84.7%,19960930-20211231, 83.9%,20090516-20211231, 94.0%
USC00040731,41.1208,-121.1347,1257.3,CA,BIEBER,,15,-8,19480701-20211231, 83.5%,19850401-20211231, 72.6%,20030816-20211231, 85.1%
USC00040742,34.2414,-116.9751,2077.2,CA,BIG BEAR LAKE DAM,,15,-8,19480701-20211220, 78.8%,19850326-20211220, 69.6%,20030808-20211220, 61.8%
USC00040790,36.2472,-121.7802,61.0,CA,BIG SUR STATION,,15,-8,19961202-20211231, 78.8%,20090617-20211231, 83.4%,20150924-20211231, 75.4%
USC00040883,38.9091,-120.6677,1345.4,CA,BLODGETT EXPER FOREST,,15,-8,19691001-20211231, 90.9%,19951116-20211231, 94.1%,20081208-20211231, 95.2%
USC00041005,37.1422,-122.1963,662.9,CA,BOULDER CR LOCAT RCH,,15,-8,19480701-20211201, 94.0%,19850317-20211201, 93.0%,20030725-20211201, 91.2%
USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,,15,-8,19480701-20160601, 85.0%,19820616-20160601, 79.7%,19990609-20160601, 77.1%
USC00041076,38.2505,-119.2161,1963.2,CA,BRIDGEPORT R.S.,,15,-8,19500609-20211208, 67.8%,19860309-20211208, 60.3%,20040123-20211208, 66.4%
USC00041130,39.6949,-121.3452,1085.1,CA,BRUSH CREEK RANGER STATION,,15,-8,19480701-20211227, 80.3%,19850330-20211227, 77.3%,20030813-20211227, 90.0%
USC00041142,35.7989,-121.0939,281.9,CA,BRYSON,,15,-8,19480701-20211231, 91.3%,19850401-20211231, 85.2%,20030816-20211231, 88.3%
USC00041194,34.1866,-118.3480,199.6,CA,BURBANK VALLEY PUMP PLANT,,15,-8,19480701-20211231, 93.1%,19850401-20211231, 87.5%,20030816-20211231, 89.7%
USC00041272,34.3899,-117.5758,1463.0,CA,CAJON WEST SUMMIT,,15,-8,19480701-20211231, 82.2%,19850401-20211231, 68.5%,20030816-20211231, 57.2%
USC00041277,38.2769,-120.3113,1431.0,CA,CALAVERAS BIG TREES,,15,-8,19860710-20211229, 86.9%,20040404-20211229, 92.5%,20130215-20211229, 91.4%
USC00041369,34.1491,-116.9802,1758.7,CA,CAMP ANGELUS,,15,-8,19480701-20211231, 86.2%,19850401-20211231, 80.8%,20030816-20211231, 64.8%
USC00041428,38.2486,-120.8433,200.6,CA,CAMP PARDEE,,15,-8,19480701-20211231, 96.1%,19850401-20211231, 94.5%,20030816-20211231, 95.5%
USC00041460,39.4397,-121.0712,762.0,CA,CAMPTONVILLE 1SW,,15,-8,19950210-20211231, 93.8%,20080721-20211231, 98.6%,20150411-20211231, 99.9%
USC00041497,40.1705,-121.0886,1389.9,CA,CANYON DAM,,15,-8,19751017-20211231, 88.4%,19981123-20211231, 88.2%,20100612-20211231, 94.4%
USC00041715,39.6911,-121.8211,56.4,CA,CHICO UNIVERSITY FARM,,15,-8,19480701-20211231, 92.1%,19850401-20211231, 92.2%,20030816-20211231, 96.0%
USC00041864,36.1356,-120.3606,204.2,CA,COALINGA,,15,-8,19480701-20210801, 49.8%,19850115-20210801, 78.5%,20030424-20210801, 77.9%
USC00041886,41.0894,-122.7086,762.9,CA,COFFEE CREEK RS,,15,-8,19601109-20211231, 82.6%,19910606-20211231, 72.1%,20060918-20211231, 77.6%
USC00042012,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,,15,-8,19560119-20211005, 86.2%,19881126-20211005, 74.1%,20050501-20211005, 67.8%
USC00042048,36.9897,-121.8050,82.3,CA,CORRALITOS,,15,-8,19580415-20211004, 75.8%,19900108-20211004, 81.9%,20051121-20211004, 76.7%
USC00042084,39.8261,-123.0850,462.4,CA,COVELO EEL RIVER RS,,15,-8,19480701-20211231, 78.1%,19850401-20211231, 67.5%,20030816-20211231, 64.3%
USC00042164,34.2393,-117.2988,1484.4,CA,CRESTLINE,,15,-8,19660418-20211231, 74.7%,19940223-20211231, 59.5%,20080127-20211231, 59.9%
USC00042239,32.9897,-116.5872,1414.3,CA,CUYAMACA,,15,-8,19670822-20211231, 81.9%,19941026-20211231, 69.6%,20080529-20211231, 66.7%
USC00042294,38.5349,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,15,-8,19480701-20211231, 90.7%,19850401-20211231, 85.2%,20030816-20211231, 76.2%
USC00042306,41.2115,-121.3738,1113.4,CA,DAY,,15,-8,19480701-20211231, 91.8%,19850401-20211231, 89.3%,20030816-20211231, 93.7%
USC00042500,39.5633,-120.8238,888.5,CA,DOWNIEVILLE,,15,-8,19480701-20211231, 93.5%,19850401-20211231, 93.3%,20030816-20211231, 95.7%
USC00042749,41.9880,-123.7183,520.6,CA,ELK VALLEY,,15,-8,19710501-20211231, 76.0%,19960830-20211231, 65.5%,20090501-20211231, 57.5%
USC00042899,41.4574,-122.8994,902.2,CA,ETNA,,15,-8,19480701-20211231, 95.3%,19850401-20211231, 94.2%,20030816-20211231, 93.5%
USC00042935,38.2880,-122.0344,33.5,CA,FAIRFIELD 3 NNE,,15,-8,19720201-20211231, 91.8%,19970115-20211231, 93.1%,20090709-20211231, 97.4%
USC00043038,38.5251,-120.6982,661.4,CA,FIDDLETOWN DEXTER RCH,,15,-8,19480701-20211231, 96.4%,19850401-20211231, 94.1%,20030816-20211231, 93.8%
USC00043161,39.5091,-123.7566,37.5,CA,FORT BRAGG 5 N,,15,-8,19480701-20211001, 79.2%,19850214-20211001, 69.5%,20030609-20211001, 61.4%
USC00043182,41.6010,-122.8478,831.8,CA,FORT JONES RS,,15,-8,19761117-20211231, 88.8%,19990610-20211231, 93.8%,20100920-20211231, 95.4%
USC00043194,40.2183,-123.6322,67.1,CA,FORT SEWARD,,15,-8,19720801-20211231, 67.5%,19970416-20211231, 75.1%,20090823-20211231, 86.0%
USC00043219,34.7333,-119.1038,1575.5,CA,FRAZIER PARK 9 SW,,15,-8,19940307-20211231, 96.0%,20080202-20211231, 97.8%,20150116-20211231, 99.6%
USC00043357,41.8452,-123.9647,118.0,CA,GASQUET RS,,15,-8,19710301-20211231, 80.9%,19960731-20211231, 78.4%,20090416-20211231, 77.0%
USC00043384,38.9330,-120.8008,914.7,CA,GEORGETOWN RS,,15,-8,19671101-20211231, 82.7%,19941201-20211231, 86.7%,20080616-20211231, 92.9%
USC00043402,34.5225,-119.6822,474.9,CA,GIBRALTAR DAM NO. 2,,15,-8,19700501-20211231, 95.2%,19960301-20211231, 94.7%,20090130-20211231, 95.3%
USC00043417,37.0030,-121.5608,59.1,CA,GILROY,,15,-8,20190328-20211231, 61.9%,20200813-20211231, 58.9%,20210422-20211231, 99.6%
USC00043419,37.0327,-121.4316,320.0,CA,GILROY 8 NE,,15,-8,19480701-20211231, 91.7%,19850401-20211231, 86.2%,20030816-20211231, 94.5%
USC00043573,39.2041,-121.0680,731.5,CA,GRASS VALLEY NO. 2,,15,-8,19660913-20211231, 86.4%,19940508-20211231, 77.5%,20080304-20211231, 77.0%
USC00043647,40.4863,-123.9088,125.9,CA,GRIZZLY CREEK STATE PARK,,15,-8,19950702-20121027, 66.1%,20040228-20121027, 67.8%,20080628-20121027, 78.8%
USC00043669,37.8444,-120.2258,853.4,CA,GROVELAND 2,,15,-8,19480701-20211231, 92.9%,19850401-20211231, 87.9%,20030816-20211231, 92.2%
USC00043761,41.7961,-123.3747,348.1,CA,HAPPY CAMP RANGER STATION,,15,-8,19480701-20211231, 87.7%,19850401-20211231, 82.1%,20030816-20211231, 81.3%
USC00043791,40.3636,-122.9650,838.2,CA,HARRISON GULCH RS,,15,-8,19481101-20211231, 86.8%,19850601-20211231, 83.1%,20030916-20211231, 86.4%
USC00043891,39.0583,-120.4150,1478.3,CA,HELL HOLE,,15,-8,19540101-20211231, 70.0%,19880101-20211231, 89.1%,20041231-20211231, 96.5%
USC00043928,36.3052,-120.7047,842.8,CA,HERNANDEZ 7 SE,,15,-8,19480701-20180731, 90.8%,19830716-20180731, 83.9%,20010121-20180731, 81.2%
USC00043939,37.9613,-119.7830,1179.6,CA,HETCH HETCHY,,15,-8,19480701-20211230, 93.9%,19850331-20211230, 91.4%,20030815-20211230, 91.7%
USC00044025,36.8483,-121.4213,83.8,CA,HOLLISTER 2,,15,-8,19480701-20211231, 85.9%,19850401-20211231, 77.5%,20030816-20211231, 95.9%
USC00044074,40.2375,-124.1322,113.7,CA,HONEYDEW 1 SW,,15,-8,19710701-20211231, 67.8%,19960930-20211231, 68.0%,20090516-20211231, 82.9%
USC00044089,41.0483,-123.6755,102.4,CA,HOOPA,,15,-8,19710601-20211231, 88.2%,19960915-20211231, 95.0%,20090509-20211231, 99.2%
USC00044191,40.6161,-123.4566,389.5,CA,HYAMPOM,,15,-8,19480701-20170407, 91.5%,19821118-20170407, 84.7%,20000127-20170407, 81.4%
USC00044232,36.7980,-118.2036,1204.0,CA,INDEPENDENCE,,15,-8,19480701-20190114, 93.1%,19831008-20190114, 88.0%,20010527-20190114, 79.2%
USC00044587,40.6422,-123.9149,744.6,CA,KNEELAND 10 SSE,,15,-8,19540617-20211231, 85.3%,19880324-20211231, 80.7%,20050210-20211231, 91.2%
USC00044689,39.2030,-123.1850,232.9,CA,LAKE MENDOCINO DAM,,15,-8,19720601-20211231, 80.9%,19970317-20211231, 73.3%,20090808-20211231, 81.7%
USC00044712,38.4920,-122.0039,57.0,CA,LAKE SOLANO,,15,-8,19621001-20211231, 93.2%,19920516-20211231, 94.3%,20070309-20211231, 96.8%
USC00044883,39.8744,-123.7205,214.3,CA,LEGGETT,,15,-8,19720801-20211231, 60.5%,19970416-20211231, 62.3%,20090823-20211231, 70.2%
